ticker,name
AAPL,Apple_Inc.
ABBV,AbbVie
ABT,Abbott_Laboratories
ACN,Accenture
AEP,American_Electric_Power
AIG,American_International_Group
ALL,Allstate
AMGN,Amgen
AMZN,Amazon.com
APA,Apache_Corporation
APC,Anadarko_Petroleum_Corporation
AXP,American_Express
BA,Boeing
BAC,Bank_of_America
BAX,Baxter_International
BK,Bank_of_New_York
BMY,Bristol-Myers_Squibb
BRK.B,Berkshire_Hathaway
C,Citigroup
CAT,Caterpillar_Inc.
CL,Colgate-Palmolive
CMCSA,Comcast
COF,Capital_One
COP,ConocoPhillips
COST,Costco
CSCO,Cisco_Systems
CVS,CVS_Caremark
CVX,Chevron_Corporation
DD,DuPont
DIS,The_Walt_Disney_Company
DOW,Dow_Chemical_Company
DVN,Devon_Energy
EBAY,eBay
EMC,EMC_Corporation
EMR,Emerson_Electric
EXC,Exelon
F,Ford_Motor_Company
FB,Facebook
FCX,Freeport-McMoRan
FDX,FedEx
FOXA,21st_Century_Fox
GD,General_Dynamics
GE,General_Electric
GILD,Gilead_Sciences
GM,General_Motors
GOOG,Google
GS,Goldman_Sachs
HAL,Halliburton
HD,The_Home_Depot
HON,Honeywell
HPQ,Hewlett-Packard
IBM,IBM
INTC,Intel
JNJ,Johnson_%26_Johnson
JPM,JPMorgan_Chase
KO,Coca-Cola
LLY,Eli_Lilly_and_Company
LMT,Lockheed_Martin
LOW,Lowe's
MA,Mastercard
MCD,McDonald's
MDT,Medtronic
MET,MetLife
MMM,3M
MO,Altria
MON,Monsanto
MRK,Merck_%26_Co.
MS,Morgan_Stanley
MSFT,Microsoft
NKE,"Nike,_Inc."
NOV,National_Oilwell_Varco
NSC,Norfolk_Southern_Railway
ORCL,Oracle_Corporation
OXY,Occidental_Petroleum
PEP,PepsiCo
PFE,Pfizer
PG,Procter_%26_Gamble
PM,Philip_Morris_International
QCOM,Qualcomm
RTN,Raytheon
SBUX,Starbucks
SLB,Schlumberger
SO,Southern_Company
SPG,Simon_Property_Group
T,AT&T
TGT,Target_Corporation
TWX,Time_Warner
TXN,Texas_Instruments
UNH,UnitedHealth_Group
UNP,Union_Pacific_Railroad
UPS,United_Parcel_Service
USB,U.S._Bancorp
UTX,United_Technologies_Corporation
V,Visa_Inc.
VZ,Verizon_Communications
WAG,Walgreens
WFC,Wells_Fargo
WMT,Walmart
XOM,ExxonMobil
