title,p_pos,p_neg,classification
At Apple's Grand Central Store  iPhones Aren't the Only Draw,0.819224923239,0.180775076761,pos
Video: Apple Moves into Television,0.538983031487,0.461016968513,pos
Apple Moves Forward With TV Plans,0.616986367416,0.383013632584,pos
Apple Softens Stance to Lure Mobile Ads,0.929559719613,0.0704402803867,pos
App Developers Skirt Apple's Limits With Work-Arounds,0.413498007968,0.586501992032,neg
The Week Ahead: Apple-HTC Smartphone Suit Moves Toward Ruling in U.S.,0.822697606061,0.177302393939,pos
Top Stories of 2011: All Apple All the Time,0.716308607873,0.283691392127,pos
Android Faces Setback in iPhone Battle,0.772693529096,0.227306470904,pos
Judge Rejects Apple Request to Ban Galaxy Sales in U.S.,0.85327987946,0.14672012054,pos
Steve Jobs Statue Unveiled in Budapest,0.801054271266,0.198945728734,pos
Shire Profit Surges Thanks to AbbVie Breakup Fee,0.775705645161,0.224294354839,pos
Amgen Biosimilar Rheumatoid Arthritis Therapy Shows Positive Results,0.362317864441,0.637682135559,neg
Stocks to Watch: Office Depot  General Motors  Ralph Lauren,0.724431218988,0.275568781012,pos
Gilead Sciences Down on Discounting News,0.855914373709,0.144085626291,pos
Merck Sales Fall on Stronger Dollar  Patent Expirations,0.598802890865,0.401197109135,pos
Gilead Sciences Earnings: What to Watch,0.877769749518,0.122230250482,pos
Hepatitis Drugs Lift Gilead Sciences's Results,0.923624550733,0.0763754492673,pos
Mylan to Distribute Gilead's Hepatitis C Drugs in India,0.928571428571,0.0714285714286,pos
Pfizer to Buy Hospira for $16 Billion,0.645736760415,0.354263239585,pos
Paulson's Fund Adds to Its Energy Holdings,0.633794847937,0.366205152063,pos
Abbott Laboratories  Intel: Money Flow Leaders (ABT  INTC),0.638630841789,0.361369158211,pos
Abbott to Pay $184 Million In Tricor Suits,0.165232131737,0.834767868263,neg
FDA Tests Find Melamine Traces in Baby Formula,0.383410381635,0.616589618365,neg
FDA to Allow Trace Levels of Melamine in Baby Formula,0.524489924441,0.475510075559,pos
Investors Lick Wounds From Dividend Cuts,0.172518330405,0.827481669595,neg
Drug Firms Target Newly Rich Abroad,0.756938198071,0.243061801929,pos
Medtronics Posts Lower Profit,0.725,0.275,pos
Abbott Posts 34% Rise in Net On Humira's Strong Growth,0.614385927556,0.385614072444,pos
Abbott's Drug-Coated Stent Is Approved,0.166666666667,0.833333333333,neg
Traders' Moves Show Hopes For Rebound in Drug Stocks,0.935027066359,0.064972933641,pos
Consultant LetsClients Use 'Gut'To Set Final Fee,0.461462073877,0.538537926123,neg
Capgemini Alters U.S. Plans,0.880057803468,0.119942196532,pos
Next Up on Fox: AdsThat Can Change Pitch,0.628909229699,0.371090770301,pos
Accenture Hires New DirectorFor Global Outsourcing Unit,0.734041841116,0.265958158884,pos
Big Deals Are Back,0.567760479597,0.432239520403,pos
SGX's Profit Nearly Triples,0.777272727273,0.222727272727,pos
BT Grants $127 Million ExtensionTo Accenture's Training Contract,0.566758010118,0.433241989882,pos
China UndertakesFinancial Overhaul,0.350746268657,0.649253731343,neg
Mining Giants Are Forced to Lessen Global Ambitions,0.799931277203,0.200068722797,pos
Dated and Confused,0.517441860465,0.482558139535,pos
Stock Pickers OfferBest Bets for 2005,0.418168701357,0.581831298643,neg
Shell  Bechtel SetShortlist of BuyersFor Power Venture,0.70853960396,0.29146039604,pos
The Case for Boredom,0.40046912963,0.59953087037,neg
Morgan Mourns,0.530303030303,0.469696969697,pos
Americans DonateIn Ways Old and NewTo Disaster's Victims,0.676706358047,0.323293641953,pos
UPS Restructures Airbus Plane Order,0.565246898706,0.434753101294,pos
Tax Cut  Shareholder PressureStoke Surge in Stock Dividends,0.666716121908,0.333283878092,pos
Firms Begin to Offer EmployeesInsurance Against Identity Theft,0.287264545473,0.712735454527,neg
AIG Boosts Dividend Nearly 67%,0.777272727273,0.222727272727,pos
Accidents Rise in Steel Sector Sparking Closer Look at Safety,0.943682823304,0.0563171766956,pos
Allstate Launches Roadside Assistance With a Twist,0.434846472136,0.565153527864,neg
CEO Council Members,0.760948905109,0.239051094891,pos
How to Create Sustainable Jobs: WSJ CEO Council Recommendations,0.931887976353,0.0681120236473,pos
Options Report: Bears Unswayed by Sony and Sherwin-Williams Gains,0.569277108434,0.430722891566,pos
Sonnenschein  Denton Wilde to Merge,0.875,0.125,pos
Insurers Are in Better Shape To Handle Storm Season,0.44382308078,0.55617691922,neg
Noted . . .,0.547619047619,0.452380952381,pos
Housing Boom's Dark Side,0.888455538222,0.111544461778,pos
Insuring a Teen Driver for Less,0.404247587002,0.595752412998,neg
The Gulf Coast  Still Wrecked Grapples With Insurance Suits,0.913215451593,0.0867845484067,pos
Amgen Curbs Its Projection for Revenue,0.929115647786,0.0708843522144,pos
Companies Seek Shareholder Input on Pay Practices,0.845404216593,0.154595783407,pos
