title,polarity,subjectivity,classification
At Apple's Grand Central Store  iPhones Aren't the Only Draw,0.166666666667,0.75,pos
Video: Apple Moves into Television,0.0,0.0,neu
Apple Moves Forward With TV Plans,0.0,0.0,neu
Apple Softens Stance to Lure Mobile Ads,0.0,0.0,neu
App Developers Skirt Apple's Limits With Work-Arounds,0.0,0.0,neu
The Week Ahead: Apple-HTC Smartphone Suit Moves Toward Ruling in U.S.,0.0,0.0,neu
Top Stories of 2011: All Apple All the Time,0.5,0.5,pos
Android Faces Setback in iPhone Battle,0.0,0.0,neu
Judge Rejects Apple Request to Ban Galaxy Sales in U.S.,0.0,0.0,neu
Steve Jobs Statue Unveiled in Budapest,0.0,0.0,neu
Shire Profit Surges Thanks to AbbVie Breakup Fee,0.2,0.2,neu
Amgen Biosimilar Rheumatoid Arthritis Therapy Shows Positive Results,0.227272727273,0.545454545455,pos
Stocks to Watch: Office Depot  General Motors  Ralph Lauren,0.05,0.5,pos
Gilead Sciences Down on Discounting News,-0.155555555556,0.288888888889,neu
Merck Sales Fall on Stronger Dollar  Patent Expirations,0.0,0.0,neu
Gilead Sciences Earnings: What to Watch,0.0,0.0,neu
Hepatitis Drugs Lift Gilead Sciences's Results,0.0,0.0,neu
Mylan to Distribute Gilead's Hepatitis C Drugs in India,0.0,0.0,neu
Pfizer to Buy Hospira for $16 Billion,0.0,0.0,neu
Paulson's Fund Adds to Its Energy Holdings,0.0,0.0,neu
Abbott Laboratories  Intel: Money Flow Leaders (ABT  INTC),0.0,0.0,neu
Abbott to Pay $184 Million In Tricor Suits,0.0,0.0,neu
FDA Tests Find Melamine Traces in Baby Formula,0.0,0.0,neu
FDA to Allow Trace Levels of Melamine in Baby Formula,0.0,0.0,neu
Investors Lick Wounds From Dividend Cuts,0.0,0.0,neu
Drug Firms Target Newly Rich Abroad,0.375,0.75,pos
Medtronics Posts Lower Profit,0.0,0.0,neu
Abbott Posts 34% Rise in Net On Humira's Strong Growth,0.216666666667,0.366666666667,neu
Abbott's Drug-Coated Stent Is Approved,0.0,0.0,neu
Traders' Moves Show Hopes For Rebound in Drug Stocks,0.0,0.0,neu
Consultant LetsClients Use 'Gut'To Set Final Fee,0.0,1.0,neu
Capgemini Alters U.S. Plans,0.0,0.0,neu
Next Up on Fox: AdsThat Can Change Pitch,0.0,0.0,neu
Accenture Hires New DirectorFor Global Outsourcing Unit,0.0681818181818,0.227272727273,neu
Big Deals Are Back,0.0,0.05,neu
SGX's Profit Nearly Triples,0.1,0.4,neu
BT Grants $127 Million ExtensionTo Accenture's Training Contract,0.0,0.0,neu
China UndertakesFinancial Overhaul,0.0,0.0,neu
Mining Giants Are Forced to Lessen Global Ambitions,-0.15,0.1,neu
Dated and Confused,-0.4,0.7,neg
Stock Pickers OfferBest Bets for 2005,0.0,0.0,neu
Shell  Bechtel SetShortlist of BuyersFor Power Venture,0.0,0.0,neu
The Case for Boredom,0.0,0.0,neu
Morgan Mourns,0.0,0.0,neu
Americans DonateIn Ways Old and NewTo Disaster's Victims,0.1,0.2,neu
UPS Restructures Airbus Plane Order,0.0,0.0,neu
Tax Cut  Shareholder PressureStoke Surge in Stock Dividends,0.0,0.0,neu
Firms Begin to Offer EmployeesInsurance Against Identity Theft,0.0,0.0,neu
AIG Boosts Dividend Nearly 67%,0.1,0.4,neu
Accidents Rise in Steel Sector Sparking Closer Look at Safety,0.0,0.0,neu
Allstate Launches Roadside Assistance With a Twist,0.0,0.0,neu
CEO Council Members,0.0,0.0,neu
How to Create Sustainable Jobs: WSJ CEO Council Recommendations,0.0,0.0,neu
Options Report: Bears Unswayed by Sony and Sherwin-Williams Gains,0.0,0.0,neu
Sonnenschein  Denton Wilde to Merge,0.0,0.0,neu
Insurers Are in Better Shape To Handle Storm Season,0.5,0.5,pos
Noted . . .,0.0,0.0,neu
Housing Boom's Dark Side,-0.15,0.4,neu
Insuring a Teen Driver for Less,-0.0833333333333,0.0333333333333,neu
The Gulf Coast  Still Wrecked Grapples With Insurance Suits,0.0,0.0,neu
Amgen Curbs Its Projection for Revenue,0.0,0.0,neu
Companies Seek Shareholder Input on Pay Practices,0.0,0.0,neu
Abbott Profit Rises  but Humira Falls Short,0.0,0.3,neu
U.S. Drug Market Faces Down Year,-0.155555555556,0.288888888889,neu
Wyeth's Flat Earnings Top Expectations as Lower Costs Offset Weak Sales,0.0333333333333,0.416666666667,neu
Amgen's Outlook Brightens,0.0,0.0,neu
Amgen Shows Little Growth,-0.1875,0.5,neg
Amgen's Enbrel Records Subpoenaed in Inquiry,0.0,0.0,neu
FDA Reviews New Amgen  J&J Data,0.136363636364,0.454545454545,neu
Noted ...,0.0,0.0,neu
What Carl Bernstein Told Bob Woodward About Jeff Bezos Buying the Washington Post,0.0,0.0,neu
Amazon.com Set Move Lower,0.0,0.0,neu
Mark Zuckerberg's Book Club Sets Sales Fire Under 'The End of Power',0.0,0.0,neu
What Does It Cost Amazon.com to Go Dark?,-0.15,0.4,neu
Netflix vs. Amazon.com: Streaming Service Showdown?,0.0,0.0,neu
Video: Target's New Look: A Bit Like Amazon.com,0.136363636364,0.454545454545,neu
